PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
1,https://createmy-qr.com/de,"CreateMy-QR | Alle QR & Barcode-Tools an einem Ort
CreateMy-QR | Alle QR & Barcode-Tools an einem Ort
home - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Wandeln Sie Ihre home-Daten direkt in Ihrem Browser in einen benutzerdefinierten QR-Code um. 100 % offline verarbeitet für absolute Privatsphäre. Kostenlos, ohne Grenzen und äußerst sicher.
Erstelle 37 Arten von QR-Codes und Barcodes kostenlos. Ohne Anmeldung. Sofortiger Download. 100% clientseitig, ISO/IEC 18004-konform, in 30 Sprachen.
Erstelle 37 Arten von QR-Codes und Barcodes kostenlos. Ohne Anmeldung. Sofortiger Download. 100% clientseitig, ISO/IEC 18004-konform, in 30 Sprachen.",,,"189
149
149",3,false
1,https://createmy-qr.com/sv,"CreateMy-QR | Alla QR & streckkoder Verktyg på ett ställe
CreateMy-QR | Alla QR & streckkoder Verktyg på ett ställe
home - Gratis QR-kod Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Konvertera dina home-data till en anpassad QR-kod direkt i din webbläsare. 100 % bearbetad offline för absolut integritet. Gratis, inga gränser och mycket säker.
Generera 37 typer av QR-koder och streckkoder gratis. Ingen registrering. Omedelbar nedladdning. 100 % klientsida, ISO/IEC 18004-kompatibel, tillgänglig på 30 språk.
Generera 37 typer av QR-koder och streckkoder gratis. Ingen registrering. Omedelbar nedladdning. 100 % klientsida, ISO/IEC 18004-kompatibel, tillgänglig på 30 språk.",,,"161
165
165",3,false
1,https://createmy-qr.com/it,"CreateMy-QR | Tutti gli Strumenti QR & Barcode in un Unico Posto
CreateMy-QR | Tutti gli Strumenti QR & Barcode in un Unico Posto
home - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Converti i tuoi dati home in un codice QR personalizzato direttamente nel tuo browser. Elaborato offline al 100% per una privacy assoluta. Gratuito, senza limiti e altamente sicuro.
Genera 37 tipi di QR code e barcode gratuitamente. Senza registrazione. Download istantaneo. 100% lato client, conforme ISO/IEC 18004, in 30 lingue.
Genera 37 tipi di QR code e barcode gratuitamente. Senza registrazione. Download istantaneo. 100% lato client, conforme ISO/IEC 18004, in 30 lingue.",,,"181
148
148",3,false
1,https://createmy-qr.com/pl,"CreateMy-QR | Wszystkie kody QR i kreskowe Narzędzia w jednym miejscu
CreateMy-QR | Wszystkie kody QR i kreskowe Narzędzia w jednym miejscu
home - Darmowy Generator Kodów QR Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Konwertuj dane home na niestandardowy kod QR bezpośrednio w przeglądarce. 100% przetwarzane w trybie offline, aby zapewnić całkowitą prywatność. Bezpłatnie, bez ograniczeń i bardzo bezpiecznie.
Wygeneruj za darmo 37 rodzajów kodów QR i kodów kreskowych. Brak rejestracji. Natychmiastowe pobieranie. W 100% po stronie klienta, zgodny z normą ISO/IEC 18004, dostępny w 30 językach.
Wygeneruj za darmo 37 rodzajów kodów QR i kodów kreskowych. Brak rejestracji. Natychmiastowe pobieranie. W 100% po stronie klienta, zgodny z normą ISO/IEC 18004, dostępny w 30 językach.",,,"193
185
185",3,false
1,https://createmy-qr.com/ro,"CreateMy-QR | Toate QR și coduri de bare Instrumente într-un singur loc
CreateMy-QR | Toate QR și coduri de bare Instrumente într-un singur loc
home - Generator de Coduri QR Gratuit Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Transformați datele dvs. home într-un cod QR personalizat direct în browser. Procesat 100% offline pentru confidențialitate absolută. Gratuit, fără limite și foarte sigur.
Generați 37 de tipuri de coduri QR și coduri de bare gratuit.Fără înscriere.Descărcare instantanee.100% partea clientului, conform ISO/IEC 18004, disponibil în 30 de limbi.
Generați 37 de tipuri de coduri QR și coduri de bare gratuit.Fără înscriere.Descărcare instantanee.100% partea clientului, conform ISO/IEC 18004, disponibil în 30 de limbi.",,,"171
172
172",3,false
1,https://createmy-qr.com/pt,"CreateMy-QR | Todas as Ferramentas QR & Código de Barras em Um Só Lugar
CreateMy-QR | Todas as Ferramentas QR & Código de Barras em Um Só Lugar
home - Gerador de Código QR Grátis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Converta seus dados do home em um código QR personalizado diretamente no seu navegador. 100% processado offline para privacidade absoluta. Gratuito, sem limites e altamente seguro.
Gere 37 tipos de QR codes e códigos de barras gratuitamente. Sem cadastro. Download instantâneo. 100% no lado do cliente, em conformidade com ISO/IEC 18004, em 30 idiomas.
Gere 37 tipos de QR codes e códigos de barras gratuitamente. Sem cadastro. Download instantâneo. 100% no lado do cliente, em conformidade com ISO/IEC 18004, em 30 idiomas.",,,"180
171
171",3,false
1,https://createmy-qr.com/bn,"CreateMy-QR | সমস্ত QR এবং বারকোড এক জায়গায় টুল
CreateMy-QR | সমস্ত QR এবং বারকোড এক জায়গায় টুল
home - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"আপনার ব্রাউজারে সরাসরি একটি কাস্টম QR কোডে আপনার home ডেটা রূপান্তর করুন। সম্পূর্ণ গোপনীয়তার জন্য 100% অফলাইনে প্রক্রিয়া করা হয়েছে। বিনামূল্যে, কোন সীমা নেই, এবং অত্যন্ত নিরাপদ।
বিনামূল্যে 37 ধরনের QR কোড এবং বারকোড তৈরি করুন।সাইন আপ নেই।তাত্ক্ষণিক ডাউনলোড।100% ক্লায়েন্ট-সাইড, ISO/IEC 18004-সম্মত, 30টি ভাষায় উপলব্ধ।
বিনামূল্যে 37 ধরনের QR কোড এবং বারকোড তৈরি করুন।সাইন আপ নেই।তাত্ক্ষণিক ডাউনলোড।100% ক্লায়েন্ট-সাইড, ISO/IEC 18004-সম্মত, 30টি ভাষায় উপলব্ধ।",,,"180
141
141",3,false
1,https://createmy-qr.com/hu,"CreateMy-QR | Minden QR és vonalkód Eszközök egy helyen
CreateMy-QR | Minden QR és vonalkód Eszközök egy helyen
home - Ingyenes Online QR-kód Generátor - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Alakítsa át home adatait egyéni QR-kóddá közvetlenül a böngészőjében. 100%-ban offline feldolgozva az abszolút adatvédelem érdekében. Ingyenes, korlátok nélkül és rendkívül biztonságos.
Generáljon ingyenesen 37 féle QR-kódot és vonalkódot.Nincs regisztráció.Azonnali letöltés.100%-ban kliensoldali, ISO/IEC 18004-kompatibilis, 30 nyelven elérhető.
Generáljon ingyenesen 37 féle QR-kódot és vonalkódot.Nincs regisztráció.Azonnali letöltés.100%-ban kliensoldali, ISO/IEC 18004-kompatibilis, 30 nyelven elérhető.",,,"185
161
161",3,false
1,https://createmy-qr.com/fi,"CreateMy-QR | Kaikki QR ja viivakoodi Työkalut yhdessä paikassa
CreateMy-QR | Kaikki QR ja viivakoodi Työkalut yhdessä paikassa
home - Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Muunna home-tietosi mukautetuksi QR-koodiksi suoraan selaimessasi. 100 % käsitelty offline-tilassa täydellisen yksityisyyden takaamiseksi. Ilmainen, ei rajoituksia ja erittäin turvallinen.
Luo 37 erilaista QR-koodia ja viivakoodia ilmaiseksi.Ei ilmoittautumista.Välitön lataus.100 % asiakaspuolen, ISO/IEC 18004 -yhteensopiva, saatavana 30 kielellä.
Luo 37 erilaista QR-koodia ja viivakoodia ilmaiseksi.Ei ilmoittautumista.Välitön lataus.100 % asiakaspuolen, ISO/IEC 18004 -yhteensopiva, saatavana 30 kielellä.",,,"188
160
160",3,false
1,https://createmy-qr.com/ar,"CreateMy-QR | جميع أدوات QR والباركود في مكان واحد
CreateMy-QR | جميع أدوات QR والباركود في مكان واحد
home - مولد رمز الاستجابة السريعة مجاني - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"قم بتحويل بيانات home الخاصة بك إلى رمز QR مخصص مباشرةً في متصفحك. تمت معالجتها بنسبة 100% دون الاتصال بالإنترنت لتوفير الخصوصية المطلقة. مجاني، بلا حدود، وآمن للغاية.
أنشئ 37 نوعاً من رموز QR والباركود مجاناً. بدون تسجيل. تنزيل فوري. 100% على جانب العميل، متوافق مع ISO/IEC 18004، في 30 لغة.
أنشئ 37 نوعاً من رموز QR والباركود مجاناً. بدون تسجيل. تنزيل فوري. 100% على جانب العميل، متوافق مع ISO/IEC 18004، في 30 لغة.",,,"167
124
124",3,false
1,https://createmy-qr.com/vi,"CreateMy-QR | Tất cả QR & Mã vạch Công cụ ở một nơi
CreateMy-QR | Tất cả QR & Mã vạch Công cụ ở một nơi
home - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Chuyển đổi dữ liệu home của bạn thành mã QR tùy chỉnh trực tiếp trong trình duyệt của bạn. 100% được xử lý ngoại tuyến để đảm bảo quyền riêng tư tuyệt đối. Miễn phí, không giới hạn và có tính bảo mật cao.
Tạo 37 loại mã QR và mã vạch miễn phí. Không đăng ký. Tải xuống ngay lập tức. 100% phía khách hàng, tuân thủ ISO/IEC 18004, có sẵn bằng 30 ngôn ngữ.
Tạo 37 loại mã QR và mã vạch miễn phí. Không đăng ký. Tải xuống ngay lập tức. 100% phía khách hàng, tuân thủ ISO/IEC 18004, có sẵn bằng 30 ngôn ngữ.",,,"204
148
148",3,false
1,https://createmy-qr.com/fr,"CreateMy-QR | Tous les Outils QR & Code-Barres en Un Seul Endroit
CreateMy-QR | Tous les Outils QR & Code-Barres en Un Seul Endroit
home - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Convertissez vos données home en un code QR personnalisé directement dans votre navigateur. 100 % traité hors ligne pour une confidentialité absolue. Gratuit, sans limites et hautement sécurisé.
Générez 37 types de QR codes et codes-barres gratuitement. Sans inscription. Téléchargement instantané. 100% côté client, conforme ISO/IEC 18004, en 30 langues.
Générez 37 types de QR codes et codes-barres gratuitement. Sans inscription. Téléchargement instantané. 100% côté client, conforme ISO/IEC 18004, en 30 langues.",,,"194
160
160",3,false
