PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
22,https://createmy-qr.com/compare,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Compare Tools
types.compare QR Code Generator - Free & Custom | CreateMy-QR
Compare Plans - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/about,"Free QR Code Generator Online - CreateMy-QR (No Signup) | About Us
types.about QR Code Generator - Free & Custom | CreateMy-QR
About CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/scan-qr,"Free QR Code Scanner Online - Scan QR Instantly
types.scanqr QR Code Generator - Free & Custom | CreateMy-QR
Scan QR Code Online",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/barcode-generator,"Free Barcode Generator Online - Create 1D Barcodes
types.barcode QR Code Generator - Free & Custom | CreateMy-QR
Free Barcode Generator",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/privacy,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Privacy Policy
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
Privacy Policy - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/terms,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Terms of Service
types.terms QR Code Generator - Free & Custom | CreateMy-QR
Terms of Service - CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/scan-barcode,"Free Barcode Scanner Online - Scan UPC & EAN
Barcode Scanner QR Code Generator - Free & Custom | CreateMy-QR
Scan Barcode Online",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,true,171,true,https://createmy-qr.com/sitemap.xml,2
